idtaxon,idnombre,ScientificName,Nombre en normativa,Normativa,Categoría,Observaciones población,Ámbito normativa,Año normativa,taxonConceptID,ScientificNameID,nameAccordingto,namePublishedIn,namePublishedInYear,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,taxonRank,WithoutAutorship,ScientificNameAuthorship,taxonRemarks,Vernacular Name,Origen,Environment,Grupo taxonómico,LP Flora vascular,LP Hongos,LP Aves,LP Anfibios y Reptiles,LP Mamíferos,LP Peces continentales,LP Invertebrados,LP Especies Marinas,LP Briófitos,idnombre_sinónimo,Sinónimo,Tipo sinonimia,Código RED NATURA,Código UICN,nombre_cientifico,nombre_comun,taxonid,categoria_amenaza,pais,scientificName,country,latitude,longitude,eventDate,estado_conservacion,causa_amenaza,tipo_habitat,area_protegida,grupo,dieta
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convolvulus fernandesii,,162138.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drouetius oceanicus,Weevil,97161588.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neomariania scriptella,Moth,97239466.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlantocis gillerforsi,Fungus Beetle,97481131.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcetella maderensis,,162244.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Actinella carinofausta,,502.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chamaemeles coriacea,,162297.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achondrostoma occidentale,,135683.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hedenasiastrum percurrens,,86200861.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herbertus azoricus,,137660982.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gonepteryx maderensis,Madeiran Brimstone,39485.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discula tectiformis,,6729.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hystricella echinulata,,6727.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Musschia wollastonii,,162388.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senecio lagascanus subsp. lusitanicus,,162401.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eudarcia atlantica,Moth,97239685.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metophthalmus occidentalis,Mould beetle,97170117.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prunus lusitanica subsp. azorica,,37577.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phloeostiba azorica,Rove Beetle,97213226.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acrobolbus azoricus,,78582601.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geomitra moniziana,Madeiran Land Snail,9051.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geomitra tiarella,,9052.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tarphius furtadoi,Ironclad Beetle,112214889.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calypogeia azorica,,87491438.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discula pulvinata,,156531.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ramalina timdaliana,,70384543.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lampadia webbiana,,11203.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cixius azofloresi,Tree lacehopper,97217487.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phloeosinus gillerforsi,Bark beetle,97162217.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pseudechinosoma nodosum,True weevil,97162328.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ramalina erosa,,70382699.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serratorotula coronata,,40044.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicia capreolata,,180551.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boettgeria crispa,,40057.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calacalles droueti,True weevil,97158270.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acrobolbus madeirensis,,78591115.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breutelia azorica,,83659918.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brachmia infuscatella,Moth,97232026.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pararge xiphia,Madeiran Speckled Wood,173215.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caseolus calvus,,156860.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rhithrodytes agnus,,19644.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amphorella tuberculata,,171203.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leiostyla concinna,,11462.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Narcissus willkommii,,68187345.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bystropogon maderensis,,102819035.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cedrorum azoricus,,97113324.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cixius azomariae,Tree lacehopper,97217787.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bazzania azorica,,87498027.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leptaxis minor,,156987.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aphrodes hamiltoni,Leafhopper,97215835.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinapidendron sempervivifolium,,165227.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cixius azopicavus,Cave lacehopper,97217920.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isoplexis sceptrum,Madeira foxglove,102819202.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leptaxis caldeirarum,,11656.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leptaxis wollastoni,,11655.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geomitra watsoni,,157091.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Squalius torgalensis,,60857.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cololejeunea madeirensis,,87543231.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argyresthia minusculella,Small ermine moth,97492472.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heteroderes azoricus,Click beetle,96986682.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tarphius tornvalli,Ironclad Beetle,112213625.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sideroxylon mirmulans,,30336.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Euconnus azoricus,Ant-like stone beetle,97185409.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Candidula setubalensis,,3739.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conocephalus chavesi,Azores Cone-head,68279966.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leiostyla falknerorum,,155359.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ctenodecticus lusitanicus,Lusitanian Pygmy Wart-biter,68286180.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trechus terrabravensis,Ground-beetle,97126159.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porella inaequalis,,87543595.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ramalina confertula,,70381370.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drouetius azoricus,Weevil,97161019.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crotchiella brachyptera,,157511.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platanthera micrantha,,175973.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgrandia lusitanica,,155526.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thamnobryum rudolphianum,,87467918.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graphania granti,Owlet Moth,97296302.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fissidens nobreganus,,88279001.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mesiotelus maderianus,,58048491.0,EN,PT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trechus picoensis,Cave ground-beetle,97124342.0,EN,PT,,,,,,,,,,,
